Date,District,Crop,Price,MonthNum,Season,Year
2023-03-23,Matale,Beans,140.0,3,Maha,2023
2023-03-23,Matale,Cabbage,55.0,3,Maha,2023
2023-03-23,Matale,Carrots,80.0,3,Maha,2023
2023-03-23,Matale,Leeks,155.0,3,Maha,2023
2023-03-23,Matale,Okra,115.0,3,Maha,2023
2023-03-30,Kandy,Beans,130.0,3,Maha,2023
2023-03-30,Kandy,Cabbage,55.0,3,Maha,2023
2023-03-30,Kandy,Carrots,95.0,3,Maha,2023
2023-03-30,Kandy,Leeks,205.0,3,Maha,2023
2023-03-30,Kandy,Okra,115.0,3,Maha,2023
2023-03-30,Matale,Beans,130.0,3,Maha,2023
2023-03-30,Matale,Cabbage,80.0,3,Maha,2023
2023-03-30,Matale,Carrots,120.0,3,Maha,2023
2023-03-30,Matale,Leeks,200.0,3,Maha,2023
2023-03-30,Matale,Okra,85.0,3,Maha,2023
2023-04-06,Kandy,Beans,120.0,4,Yala,2023
2023-04-06,Kandy,Cabbage,75.0,4,Yala,2023
2023-04-06,Kandy,Carrots,110.0,4,Yala,2023
2023-04-06,Kandy,Leeks,175.0,4,Yala,2023
2023-04-06,Kandy,Okra,95.0,4,Yala,2023
2023-04-06,Matale,Beans,100.0,4,Yala,2023
2023-04-06,Matale,Cabbage,75.0,4,Yala,2023
2023-04-06,Matale,Carrots,90.0,4,Yala,2023
2023-04-06,Matale,Leeks,200.0,4,Yala,2023
2023-04-06,Matale,Okra,77.0,4,Yala,2023
2023-04-20,Kandy,Beans,90.0,4,Yala,2023
2023-04-20,Kandy,Cabbage,135.0,4,Yala,2023
2023-04-20,Kandy,Carrots,135.0,4,Yala,2023
2023-04-20,Kandy,Leeks,225.0,4,Yala,2023
2023-04-20,Kandy,Okra,85.0,4,Yala,2023
2023-04-20,Matale,Beans,85.0,4,Yala,2023
2023-04-20,Matale,Cabbage,130.0,4,Yala,2023
2023-04-20,Matale,Carrots,125.0,4,Yala,2023
2023-04-20,Matale,Leeks,170.0,4,Yala,2023
2023-04-20,Matale,Okra,63.0,4,Yala,2023
2023-04-27,Kandy,Beans,150.0,4,Yala,2023
2023-04-27,Kandy,Cabbage,100.0,4,Yala,2023
2023-04-27,Kandy,Carrots,135.0,4,Yala,2023
2023-04-27,Kandy,Leeks,215.0,4,Yala,2023
2023-04-27,Kandy,Okra,95.0,4,Yala,2023
2023-04-27,Matale,Beans,155.0,4,Yala,2023
2023-04-27,Matale,Cabbage,110.0,4,Yala,2023
2023-04-27,Matale,Carrots,130.0,4,Yala,2023
2023-04-27,Matale,Leeks,165.0,4,Yala,2023
2023-04-27,Matale,Okra,90.0,4,Yala,2023
2023-05-04,Kandy,Beans,230.0,5,Yala,2023
2023-05-04,Kandy,Cabbage,120.0,5,Yala,2023
2023-05-04,Kandy,Carrots,130.0,5,Yala,2023
2023-05-04,Kandy,Leeks,185.0,5,Yala,2023
2023-05-04,Kandy,Okra,130.0,5,Yala,2023
2023-05-04,Matale,Beans,240.0,5,Yala,2023
2023-05-04,Matale,Cabbage,125.0,5,Yala,2023
2023-05-04,Matale,Carrots,130.0,5,Yala,2023
2023-05-04,Matale,Leeks,245.0,5,Yala,2023
2023-05-04,Matale,Okra,130.0,5,Yala,2023
2023-05-11,Kandy,Beans,290.0,5,Yala,2023
2023-05-11,Kandy,Cabbage,140.0,5,Yala,2023
2023-05-11,Kandy,Carrots,130.0,5,Yala,2023
2023-05-11,Kandy,Leeks,220.0,5,Yala,2023
2023-05-11,Kandy,Okra,120.0,5,Yala,2023
2023-05-11,Matale,Beans,325.0,5,Yala,2023
2023-05-11,Matale,Cabbage,160.0,5,Yala,2023
2023-05-11,Matale,Carrots,135.0,5,Yala,2023
2023-05-11,Matale,Leeks,200.0,5,Yala,2023
2023-05-11,Matale,Okra,115.0,5,Yala,2023
2023-05-18,Kandy,Beans,435.0,5,Yala,2023
2023-05-18,Kandy,Cabbage,170.0,5,Yala,2023
2023-05-18,Kandy,Carrots,240.0,5,Yala,2023
2023-05-18,Kandy,Leeks,285.0,5,Yala,2023
2023-05-18,Kandy,Okra,155.0,5,Yala,2023
2023-05-18,Matale,Beans,360.0,5,Yala,2023
2023-05-18,Matale,Cabbage,190.0,5,Yala,2023
2023-05-18,Matale,Carrots,200.0,5,Yala,2023
2023-05-18,Matale,Leeks,260.0,5,Yala,2023
2023-05-18,Matale,Okra,150.0,5,Yala,2023
2023-05-25,Kandy,Beans,265.0,5,Yala,2023
2023-05-25,Kandy,Cabbage,250.0,5,Yala,2023
2023-05-25,Kandy,Carrots,270.0,5,Yala,2023
2023-05-25,Kandy,Leeks,270.0,5,Yala,2023
2023-05-25,Kandy,Okra,140.0,5,Yala,2023
2023-05-25,Matale,Beans,215.0,5,Yala,2023
2023-05-25,Matale,Cabbage,285.0,5,Yala,2023
2023-05-25,Matale,Carrots,260.0,5,Yala,2023
2023-05-25,Matale,Leeks,285.0,5,Yala,2023
2023-05-25,Matale,Okra,170.0,5,Yala,2023
2023-06-01,Kandy,Beans,310.0,6,Yala,2023
2023-06-01,Kandy,Cabbage,310.0,6,Yala,2023
2023-06-01,Kandy,Carrots,290.0,6,Yala,2023
2023-06-01,Kandy,Leeks,275.0,6,Yala,2023
2023-06-01,Kandy,Okra,140.0,6,Yala,2023
2023-06-01,Matale,Beans,235.0,6,Yala,2023
2023-06-01,Matale,Cabbage,280.0,6,Yala,2023
2023-06-01,Matale,Carrots,275.0,6,Yala,2023
2023-06-01,Matale,Leeks,225.0,6,Yala,2023
2023-06-01,Matale,Okra,125.0,6,Yala,2023
2023-06-08,Kandy,Beans,245.0,6,Yala,2023
2023-06-08,Kandy,Cabbage,280.0,6,Yala,2023
2023-06-08,Kandy,Carrots,305.0,6,Yala,2023
2023-06-08,Kandy,Leeks,275.0,6,Yala,2023
2023-06-08,Kandy,Okra,130.0,6,Yala,2023
2023-06-08,Matale,Beans,325.0,6,Yala,2023
